strava_id|status|dog_access|reason
3525390157350881678|review|unverified|Built 2026-08-20 (answers Sean on 잠실 석촌호수 3.39km: "another loop around the rightside lake"): full perimeter lap of the EAST lobe, waypoints taken from the OSM relation geometry (east lobe is lng>127.1035; this trace maxes 127.1073). The claim is checkable, unlike the retired 동서호 name. 1.56km. No dog-access audit by this session.
3525400812527091208|review|unverified|Built 2026-08-20 (rework of 잠실 레이크팰리스·석촌호수 서호 3.97km): Sean "maybe using coordinates are better ... not sure why you are jutting out towards the station". Both lake ends by coordinate; no station jut. 2.95km. No dog-access audit by this session.
3525400812528308744|review|unverified|Built 2026-08-20 (rework of 잠실 아시아선수촌·아시아공원 3.89km): Sean "you are quite literally moving away from the park". Now crosses 아시아공원 itself. 2.13km. No dog-access audit by this session.
3525400812527557128|review|unverified|Built 2026-08-20 (rework of 도봉 방학천 생활권 3.49km): Sean "no need to go all the way up to 방학역". Straight to 방학천, west along the water, home. 2.29km. No dog-access audit by this session.
3525398261446466228|review|unverified|Built 2026-08-20 (rework of 은평 물푸레골천 박석 6.8km): Sean "can shorten the southern tip and cut that and turn back earlier". 물푸레골천 + 탑골생태공원, turns back at the park. 3.89km. No dog-access audit by this session.
3525399254373559694|review|unverified|Built 2026-08-20 (rework of 잠원 근린공원 5.4km): Sean "tie it into the park just above". 잠원근린공원 (trace passes 23m) + 반포나들목 (0m) — 0% retrace LOOP, closure 0, the catalog's second perfect loop. Coordinate start was required: retyping the resolved start "Hanshin 2nd Main Gate" geocoded to SEOUL NATIONAL UNIVERSITY and produced 14.53km. No dog-access audit by this session.
3525400812086698676|review|unverified|Built 2026-08-20 (rework of 강서 구암 가양 한강 3.78km): Sean's explicit sequence "start near the station and go towards 동신대아 아파트 then to 어울림 공원 then back to 등촌 아파트 then back to the apartment area near the river". 어울림공원 DOES NOT EXIST in 강서 (OSM name search over the whole 구 returns only 금호어울림 APARTMENT complexes) — this is why the earlier 어울림공원 attempt measured 27.64km. The park in that position is 궁산근린공원 and the route is named for it. 5.59km. No dog-access audit by this session.
3525399254393541006|review|unverified|Built 2026-08-20 (coverage gap #1, +173 complexes newly within 500m): 경의선숲길 linear park carries the east leg, 0m gain. First attempt measured 0.85km (under the range floor) and was not saved. No dog-access audit by this session.
3525408306708304602|review|unverified|Built 2026-08-20 (coverage gap #2, +158 complexes): 목동근린공원 + 파리공원 by coordinate after the names routed 6.08km. Measured 2.28km. No dog-access audit by this session.
3525400812109525684|review|unverified|Built 2026-08-20 (coverage gap #3, +144 complexes): 길음골소공원 out to the 정릉천 자전거길 access ramp. Target restated 3->4.5km to match what the corridor actually measures rather than moving waypoints to hit a number. 4.76km. No dog-access audit by this session.
naver:164jvfe|review|unverified|Built 2026-08-20 via NAVER pedestrian router (naver-route.mjs, o=flat/계단회피) targeting a measured coverage gap from coverage-gaps.mjs. Closure 0m by construction (first==last trackpoint). Naver reports stairs=0 crosswalk=4 steppingstone=0 underpass=2 overpass=0 — dog-relevant metadata Strava does not supply. ELEVATION IS NULL, not 0: Naver's walk API returns no elevation field, and 0 would assert a flatness nothing measured. Source cleared by Sean 2026-08-20 (personal grant from NAVER, incl. onward redistribution). No dog-access audit by this session.
naver:17jigmi|review|unverified|Built 2026-08-20 via NAVER pedestrian router (naver-route.mjs, o=flat/계단회피) targeting a measured coverage gap from coverage-gaps.mjs. Closure 0m by construction (first==last trackpoint). Naver reports stairs=0 crosswalk=5 steppingstone=0 underpass=2 overpass=0 — dog-relevant metadata Strava does not supply. ELEVATION IS NULL, not 0: Naver's walk API returns no elevation field, and 0 would assert a flatness nothing measured. Source cleared by Sean 2026-08-20 (personal grant from NAVER, incl. onward redistribution). No dog-access audit by this session.
naver:1kuxyqj|review|unverified|Built 2026-08-20 via NAVER pedestrian router (naver-route.mjs, o=flat/계단회피) targeting a measured coverage gap from coverage-gaps.mjs. Closure 0m by construction (first==last trackpoint). Naver reports stairs=0 crosswalk=5 steppingstone=0 underpass=0 overpass=0 — dog-relevant metadata Strava does not supply. ELEVATION IS NULL, not 0: Naver's walk API returns no elevation field, and 0 would assert a flatness nothing measured. Source cleared by Sean 2026-08-20 (personal grant from NAVER, incl. onward redistribution). No dog-access audit by this session.
naver:12g37d8|review|unverified|Built 2026-08-20 via NAVER pedestrian router at a measured coverage gap (coverage-gaps.mjs), routed TO the nearest green by coordinate and gated on GREEN CONTACT — the trace is verified within 60m of a real park/stream before saving. Closure 0m by construction. Naver: stairs=0 crosswalk=4 steppingstone=0 underpass=0 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal grant from NAVER incl. onward redistribution). No dog-access audit by this session.
naver:1ctdt83|review|unverified|Built 2026-08-20 via NAVER pedestrian router at a measured coverage gap (coverage-gaps.mjs), routed TO the nearest green by coordinate and gated on GREEN CONTACT — the trace is verified within 60m of a real park/stream before saving. Closure 0m by construction. Naver: stairs=0 crosswalk=2 steppingstone=0 underpass=0 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal grant from NAVER incl. onward redistribution). No dog-access audit by this session.
naver:1buv00l|review|unverified|Built 2026-08-20 via NAVER pedestrian router at a measured coverage gap (coverage-gaps.mjs), routed TO the nearest green by coordinate and gated on GREEN CONTACT — the trace is verified within 60m of a real park/stream before saving. Closure 0m by construction. Naver: stairs=0 crosswalk=7 steppingstone=0 underpass=0 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal grant from NAVER incl. onward redistribution). No dog-access audit by this session.
naver:18b4r9t|review|unverified|Built 2026-08-20 via NAVER pedestrian router at a measured coverage gap (coverage-gaps.mjs), routed TO the nearest green by coordinate and gated on GREEN CONTACT — the trace is verified within 60m of a real park/stream before saving. Closure 0m by construction. Naver: stairs=0 crosswalk=0 steppingstone=0 underpass=0 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal grant from NAVER incl. onward redistribution). No dog-access audit by this session.
naver:jk710|review|unverified|Built 2026-08-20 via NAVER pedestrian router at a measured coverage gap (coverage-gaps.mjs), routed TO the nearest green by coordinate and gated on GREEN CONTACT — the trace is verified within 60m of a real park/stream before saving. Closure 0m by construction. Naver: stairs=0 crosswalk=12 steppingstone=0 underpass=0 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal grant from NAVER incl. onward redistribution). No dog-access audit by this session.
naver:d2sir8|review|unverified|Built 2026-08-20 via NAVER pedestrian router at a measured coverage gap (coverage-gaps.mjs), routed TO the nearest green by coordinate and gated on GREEN CONTACT — the trace is verified within 60m of a real park/stream before saving. Closure 0m by construction. Naver: stairs=0 crosswalk=8 steppingstone=0 underpass=2 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal grant from NAVER incl. onward redistribution). No dog-access audit by this session.
naver:1eknhdt|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode (Sean: "pair greens for longer routes") at a measured coverage gap. Routes anchor -> green A -> green B -> home; length comes from the SECOND green rather than from walking further out, so R1 holds — both destinations are the nearest qualifying greens, neither chosen to make a distance come out. BOTH greens verified within 60m of the trace before saving. Closure 0m by construction. Naver: $META. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:1p521ec|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode (Sean: "pair greens for longer routes") at a measured coverage gap. Routes anchor -> green A -> green B -> home; length comes from the SECOND green rather than from walking further out, so R1 holds — both destinations are the nearest qualifying greens, neither chosen to make a distance come out. BOTH greens verified within 60m of the trace before saving. Closure 0m by construction. Naver: $META. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:1o8vfi3|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode (Sean: "pair greens for longer routes") at a measured coverage gap. Routes anchor -> green A -> green B -> home; length comes from the SECOND green rather than from walking further out, so R1 holds — both destinations are the nearest qualifying greens, neither chosen to make a distance come out. BOTH greens verified within 60m of the trace before saving. Closure 0m by construction. Naver: $META. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:12gj0h7|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode (Sean: "pair greens for longer routes") at a measured coverage gap. Routes anchor -> green A -> green B -> home; length comes from the SECOND green rather than from walking further out, so R1 holds — both destinations are the nearest qualifying greens, neither chosen to make a distance come out. BOTH greens verified within 60m of the trace before saving. Closure 0m by construction. Naver: $META. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:1g9vykz|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode (Sean: "pair greens for longer routes") at a measured coverage gap. Routes anchor -> green A -> green B -> home; length comes from the SECOND green rather than from walking further out, so R1 holds — both destinations are the nearest qualifying greens, neither chosen to make a distance come out. BOTH greens verified within 60m of the trace before saving. Closure 0m by construction. Naver: $META. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:ckpswi|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode (Sean: "pair greens for longer routes") at a measured coverage gap. Routes anchor -> green A -> green B -> home; length comes from the SECOND green rather than from walking further out, so R1 holds — both destinations are the nearest qualifying greens, neither chosen to make a distance come out. BOTH greens verified within 60m of the trace before saving. Closure 0m by construction. Naver: $META. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:11qdxot|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode (Sean: "pair greens for longer routes") at a measured coverage gap. Routes anchor -> green A -> green B -> home; length comes from the SECOND green rather than from walking further out, so R1 holds — both destinations are the nearest qualifying greens, neither chosen to make a distance come out. BOTH greens verified within 60m of the trace before saving. Closure 0m by construction. Naver: $META. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:1o0qxh2|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode (Sean: "pair greens for longer routes") at a measured coverage gap. Routes anchor -> green A -> green B -> home; length comes from the SECOND green rather than from walking further out, so R1 holds — both destinations are the nearest qualifying greens, neither chosen to make a distance come out. BOTH greens verified within 60m of the trace before saving. Closure 0m by construction. Naver: $META. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:6zlnb3|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode at a measured coverage gap (coverage-gaps.mjs greedy marginal ranking). Routes anchor -> green A -> green B -> home; length comes from the second green, not from walking further out, so the nearest-green rule holds. BOTH greens verified within 60m of the finished trace before saving. Closure 0m by construction. Naver: stairs=2 crosswalk=7 steppingstone=0 underpass=0 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:1tlissf|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode at a measured coverage gap (coverage-gaps.mjs greedy marginal ranking). Routes anchor -> green A -> green B -> home; length comes from the second green, not from walking further out, so the nearest-green rule holds. BOTH greens verified within 60m of the finished trace before saving. Closure 0m by construction. Naver: stairs=0 crosswalk=11 steppingstone=0 underpass=1 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:cxycye|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode at a measured coverage gap (coverage-gaps.mjs greedy marginal ranking). Routes anchor -> green A -> green B -> home; length comes from the second green, not from walking further out, so the nearest-green rule holds. BOTH greens verified within 60m of the finished trace before saving. Closure 0m by construction. Naver: stairs=0 crosswalk=8 steppingstone=0 underpass=1 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:1ulztle|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode at a measured coverage gap (coverage-gaps.mjs greedy marginal ranking). Routes anchor -> green A -> green B -> home; length comes from the second green, not from walking further out, so the nearest-green rule holds. BOTH greens verified within 60m of the finished trace before saving. Closure 0m by construction. Naver: stairs=0 crosswalk=6 steppingstone=0 underpass=0 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:1athgse|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode at a measured coverage gap (coverage-gaps.mjs greedy marginal ranking). Routes anchor -> green A -> green B -> home; length comes from the second green, not from walking further out, so the nearest-green rule holds. BOTH greens verified within 60m of the finished trace before saving. Closure 0m by construction. Naver: stairs=0 crosswalk=6 steppingstone=0 underpass=0 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:kf15hv|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode at a measured coverage gap (coverage-gaps.mjs greedy marginal ranking). Routes anchor -> green A -> green B -> home; length comes from the second green, not from walking further out, so the nearest-green rule holds. BOTH greens verified within 60m of the finished trace before saving. Closure 0m by construction. Naver: stairs=0 crosswalk=2 steppingstone=0 underpass=0 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:okp50x|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode at a measured coverage gap (coverage-gaps.mjs greedy marginal ranking). Routes anchor -> green A -> green B -> home; length comes from the second green, not from walking further out, so the nearest-green rule holds. BOTH greens verified within 60m of the finished trace before saving. Closure 0m by construction. Naver: stairs=0 crosswalk=4 steppingstone=0 underpass=0 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
naver:1ii0wq|review|unverified|Built 2026-08-20 via NAVER pedestrian router in PAIR mode at a measured coverage gap (coverage-gaps.mjs greedy marginal ranking). Routes anchor -> green A -> green B -> home; length comes from the second green, not from walking further out, so the nearest-green rule holds. BOTH greens verified within 60m of the finished trace before saving. Closure 0m by construction. Naver: stairs=0 crosswalk=7 steppingstone=0 underpass=0 overpass=0. ELEVATION NULL, not 0 — this source supplies none. Source cleared by Sean 2026-08-20 (personal NAVER grant). No dog-access audit by this session.
